SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE_FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3911 NW 19th St,Gainesville,FL,32605,328000,3,2.5,OAKLEIGH HEIGHTS,1766,16711,1970,12,186,,Active,,,https://www.redfin.com/FL/Gainesville/3911-NW-19th-St-32605/home/115009407,Stellar MLS as Distributed by MLS Grid,GC516953,N,Y,29.6892343,-82.3470116
MLS Listing,,Single Family Residential,24647 SW 21st Cir,Newberry,FL,32669,450000,3,2.0,COUNTRYWAY OF NEWBERRY PH LLL PB 35 PG 77,1687,9583,2021,12,267,83,Active,,,https://www.redfin.com/FL/Newberry/24647-SW-21st-Cir-32669/home/174532757,Stellar MLS as Distributed by MLS Grid,GC517639,N,Y,29.6324876,-82.6030208
MLS Listing,,Single Family Residential,9000 NW 27th Pl,Gainesville,FL,32606,500000,5,3.0,HAUFLER BROS ESTATE,2370,63598,1989,13,211,,Active,,,https://www.redfin.com/FL/Gainesville/9000-NW-27th-Pl-32606/home/115004979,Stellar MLS as Distributed by MLS Grid,GC517644,N,Y,29.6787825,-82.4379727
MLS Listing,,Vacant Land,10777 SE 215th Ter,Hawthorne,FL,32640,79000,,,COYOTE RUN,,217800,,13,,,Active,,,https://www.redfin.com/FL/Hawthorne/10777-SE-215th-Ter-32640/home/188602393,Stellar MLS as Distributed by MLS Grid,OM668261,N,Y,29.5877602,-82.090865
MLS Listing,,Single Family Residential,1326 NE 14th St,Gainesville,FL,32601,209900,3,1.0,HIGHLAND COURT #7,1274,9881,1958,13,165,,Active,,,https://www.redfin.com/FL/Gainesville/1326-NE-14th-St-32601/home/115155833,Stellar MLS as Distributed by MLS Grid,GC517625,N,Y,29.6646509,-82.3078374
MLS Listing,,Single Family Residential,,Gainesville,FL,32605,330000,3,2.0,,2155,10890,1998,13,153,90,Active,,,https://www.redfin.com/FL/Gainesville/Undisclosed-address-32605/home/114949209,Stellar MLS as Distributed by MLS Grid,GC517599,N,Y,29.696629,-82.37735
MLS Listing,,Single Family Residential,13400 NW 11th Pl,Newberry,FL,32669,449000,4,2.5,ARBOR GREENS PH II UNIT II,1957,5001,2020,13,229,131,Active,,,https://www.redfin.com/FL/Newberry/13400-NW-11th-Pl-32669/home/168004943,Stellar MLS as Distributed by MLS Grid,GC517413,N,Y,29.663207,-82.484939
MLS Listing,,Townhouse,13747 NW 9th Rd,Newberry,FL,32669,308000,3,2.5,TARA GREENS PB 36 PG 58,1690,2178,2021,13,182,98,Active,,,https://www.redfin.com/FL/Newberry/13747-NW-9th-Rd-32669/home/174869356,Stellar MLS as Distributed by MLS Grid,GC517618,N,Y,29.6604936,-82.4907756
MLS Listing,,Single Family Residential,19474 NW 215 Ter,High Springs,FL,32643,425000,2,2.0,UNDERWOOD HILL FOREST,1260,231739,1981,13,337,,Active,,,https://www.redfin.com/FL/High-Springs/19474-NW-215th-Ter-32643/home/114425486,Stellar MLS as Distributed by MLS Grid,T3487112,N,Y,29.8333805,-82.5751202
MLS Listing,,Single Family Residential,25069 SW 23rd Rd,Newberry,FL,32669,346400,4,2.0,COUNTRY WAY SOUTH,1820,6098,2024,13,190,25,Active,,,https://www.redfin.com/FL/Newberry/25051-NW-23rd-Ln-32669/home/186679204,Stellar MLS as Distributed by MLS Grid,OM668042,N,Y,29.635305,-82.600456
MLS Listing,,Single Family Residential,14119 N County Road 225,Gainesville,FL,32609,250000,3,2.0,INDIAN LAKES,1216,268765,1995,13,206,,Active,,,https://www.redfin.com/FL/Gainesville/14119-N-County-Road-225-32609/home/114440975,Stellar MLS as Distributed by MLS Grid,GC517524,N,Y,29.7846656,-82.2801289
MLS Listing,,Single Family Residential,25063 SW 23rd Rd,Newberry,FL,32669,350400,3,2.0,COUNTRY WAY SOUTH,1780,6098,2024,13,197,25,Active,,,https://www.redfin.com/FL/Newberry/25063-NW-23rd-Ln-32669/home/188598126,Stellar MLS as Distributed by MLS Grid,OM667643,N,Y,29.6313696,-82.60639978
MLS Listing,,Townhouse,2114 NW 55th Blvd Unit 35 & 36,Gainesville,FL,32653,325000,2,1.0,PALMETTO CREEK,1792,4046,1979,13,181,,Active,,,https://www.redfin.com/FL/Gainesville/2114-NW-55th-Blvd-32653/unit-36/home/184367319,Stellar MLS as Distributed by MLS Grid,OM668245,N,Y,29.7055343,-82.3523022
MLS Listing,,Single Family Residential,2028 NE 4th Ave,Gainesville,FL,32641,160000,3,1.0,AVONDALE ESTATES,1300,8478,1978,13,123,,Active,,,https://www.redfin.com/FL/Gainesville/2028-NE-4th-Ave-32641/home/115221630,Stellar MLS as Distributed by MLS Grid,GC517630,N,Y,29.6552551,-82.2975103
MLS Listing,,Single Family Residential,240 SE 74th St,Gainesville,FL,32641,179900,3,1.0,LAKESHORE HOMESITES,1450,9653,1964,13,124,,Active,,,https://www.redfin.com/FL/Gainesville/240-SE-74th-St-32641/home/115348047,Stellar MLS as Distributed by MLS Grid,GC517581,N,Y,29.64942,-82.240181
MLS Listing,,Vacant Land,23206 NW 102nd Ave,Alachua,FL,32615,285000,,,ALACHUA,,278348,,13,,,Active,,,https://www.redfin.com/FL/Alachua/23206-NW-102nd-Ave-32615/home/114155452,Stellar MLS as Distributed by MLS Grid,OM668157,N,Y,29.7506506,-82.5886689
MLS Listing,,Single Family Residential,5057 NW 57th Ter,Gainesville,FL,32653,607500,4,3.0,MILLHOPPER FOREST UNIT 2A,3004,12197,2003,14,202,265,Active,December-3-2023 12:00 AM,December-3-2023 03:00 PM,https://www.redfin.com/FL/Gainesville/5057-NW-57th-Ter-32653/home/115279213,Stellar MLS as Distributed by MLS Grid,GC517558,N,Y,29.7013216,-82.4037836
MLS Listing,,Townhouse,12925 NW 12th Rd,Newberry,FL,32669,355352,3,2.0,VILLAS OF WEST END,1509,2613,2020,14,235,296,Active,,,https://www.redfin.com/FL/Newberry/12925-NW-12th-Rd-32669/home/170653981,Stellar MLS as Distributed by MLS Grid,GC517587,N,Y,29.6636855,-82.4799924
MLS Listing,,Condo/Co-op,715 SW 75th St #104,Gainesville,FL,32607,98750,3,2.0,SPARROW,1252,,1973,14,79,307,Active,,,https://www.redfin.com/FL/Gainesville/715-SW-75th-St-32607/unit-104/home/114914670,Stellar MLS as Distributed by MLS Grid,A4589774,N,Y,29.6459409,-82.4203827
MLS Listing,,Ranch,6512 SW 146 Pl,Micanopy,FL,32667,1395000,3,2.0,MICANOPY,2506,754895,1997,14,557,,Active,,,https://www.redfin.com/FL/Gainesville/6512-SW-146-PL-32608/home/174623274,Stellar MLS as Distributed by MLS Grid,OM668176,N,Y,29.522399,-82.413589
MLS Listing,,Single Family Residential,28706 NW 32nd Ave,Newberry,FL,32669,299707,2,2.0,NEWBERRY,840,313632,2008,14,357,,Active,,,https://www.redfin.com/FL/Newberry/28706-NW-32nd-Ave-32669/home/188590988,Stellar MLS as Distributed by MLS Grid,GC517589,N,Y,29.6794312,-82.645464
MLS Listing,,Single Family Residential,506 SW 40th Ter,Gainesville,FL,32607,420000,4,2.0,FLETCHER HEIGHTS UNIT III,2077,27879,1966,14,202,,Active,,,https://www.redfin.com/FL/Gainesville/506-SW-40th-Ter-32607/home/114983120,Stellar MLS as Distributed by MLS Grid,GC517417,N,Y,29.6475888,-82.3863332
MLS Listing,,Single Family Residential,9400 SW 67th Ln,Gainesville,FL,32608,379900,3,2.0,LUGANO PH 2 PB 34 PG 93,1504,4356,2019,14,253,210,Active,December-2-2023 11:00 AM,December-2-2023 01:00 PM,https://www.redfin.com/FL/Gainesville/9400-SW-67th-Ln-32608/home/170659060,Stellar MLS as Distributed by MLS Grid,GC517551,N,Y,29.592057,-82.442776
MLS Listing,,Single Family Residential,2712 NW 1 Ave,Gainesville,FL,32607,350000,3,2.5,HIBISCUS PARK,1156,7405,1949,14,303,,Active,,,https://www.redfin.com/FL/Gainesville/2712-NW-1st-Ave-32607/home/114444305,Stellar MLS as Distributed by MLS Grid,GC517592,N,Y,29.652899,-82.363268
MLS Listing,,Multi-Family (2-4 Unit),4005 NW 21st Dr,Gainesville,FL,32605,279900,3,2.0,HAZEL HEIGHTS SUB,1292,10490,1959,14,217,,Active,,,https://www.redfin.com/FL/Gainesville/4005-NW-21st-Dr-32605/home/114492970,Stellar MLS as Distributed by MLS Grid,GC517609,N,Y,29.690534,-82.352848
MLS Listing,,Single Family Residential,1951 NW 10th Ave,Gainesville,FL,32605,500000,4,2.5,FLORIDA PARK,2444,46536,1952,14,205,,Active,December-2-2023 01:00 PM,December-2-2023 03:00 PM,https://www.redfin.com/FL/Gainesville/1951-NW-10th-Ave-32605/home/115056015,Stellar MLS as Distributed by MLS Grid,GC517511,N,Y,29.6622305,-82.3487705
MLS Listing,,Townhouse,501 SW 75th St Unit D12,Gainesville,FL,32607,209707,4,2.5,CRICKET CLUB CONDO,1638,,1977,14,128,307,Active,,,https://www.redfin.com/FL/Gainesville/501-SW-75th-St-32607/unit-D12/home/114926005,Stellar MLS as Distributed by MLS Grid,GC517574,N,Y,29.6489307,-82.4213024
MLS Listing,,Single Family Residential,3819 NE 12th St,Gainesville,FL,32609,299000,4,2.0,HIGHLAND COURT MANOR,1310,9292,1972,14,228,,Active,,,https://www.redfin.com/FL/Gainesville/3819-NE-12th-St-32609/home/115021613,Stellar MLS as Distributed by MLS Grid,U8221181,N,Y,29.687848,-82.310119
MLS Listing,,Single Family Residential,12002 NW 25th Dr,Gainesville,FL,32609,298600,3,2.0,SEMINOLE WOODS,1493,63598,2024,14,200,,Active,December-3-2023 12:00 PM,December-3-2023 02:00 PM,https://www.redfin.com/FL/Gainesville/12002-NW-25th-Dr-32609/home/114133533,Stellar MLS as Distributed by MLS Grid,GC515704,N,Y,29.7646257,-82.3609335
MLS Listing,,Single Family Residential,2649 SW 117th St,Gainesville,FL,32608,1396500,5,4.0,OAKMONT PH 1 UNIT 1C,3724,17424,2018,14,375,7,Active,,,https://www.redfin.com/FL/Gainesville/2649-SW-117th-St-32608/home/116534494,Stellar MLS as Distributed by MLS Grid,GC517482,N,Y,29.6290142,-82.4660946
MLS Listing,,Single Family Residential,Lot 4 SE 9th St,Gainesville,FL,32601,375000,3,3.0,MCDOWALLS,1348,2613,2024,15,278,,Active,,,https://www.redfin.com/FL/Gainesville/4-SE-9-St-32601/home/188600248,Stellar MLS as Distributed by MLS Grid,GC517535,N,Y,29.6518654,-82.3147414
MLS Listing,,Single Family Residential,2659 SW 118th Ter,Gainesville,FL,32608,550000,3,2.0,OAKMONT,1930,8276,2015,15,285,95,Active,December-3-2023 01:00 PM,December-3-2023 03:00 PM,https://www.redfin.com/FL/Gainesville/2659-SW-118th-Ter-32608/home/115760924,Stellar MLS as Distributed by MLS Grid,GC517455,N,Y,29.62903,-82.4679563
MLS Listing,,Single Family Residential,233 SW 246 Way,Newberry,FL,32669,309000,3,2.0,CEDAR ESTATES OF NEWBERRY,1292,10403,2024,15,239,,Active,,,https://www.redfin.com/FL/Newberry/233-SW-246th-Way-32669/home/188584036,Stellar MLS as Distributed by MLS Grid,GC517591,N,Y,29.644946,-82.602846
MLS Listing,,Single Family Residential,24345 NW 12th Pl,Newberry,FL,32669,329900,3,2.5,AVALON WOODS,1604,6950,2024,15,206,35,Active,,,https://www.redfin.com/FL/Newberry/24345-NW-12th-Pl-32669/home/188579427,Stellar MLS as Distributed by MLS Grid,O6157736,N,Y,29.6635468,-82.4868394
MLS Listing,,Single Family Residential,5825 NW 29th St,Gainesville,FL,32653,325000,3,2.0,NORTHWOOD PINES,1820,11020,1975,15,179,,Active,,,https://www.redfin.com/FL/Gainesville/5825-NW-29th-St-32653/home/114159409,Stellar MLS as Distributed by MLS Grid,GC517580,N,Y,29.7084034,-82.365274
MLS Listing,,Vacant Land,00 NW 70th Ave,Alachua,FL,32615,199000,,,UNIVERSITY AVE PROPERTIES INC,,217809,,15,,,Active,,,https://www.redfin.com/FL/Alachua/NW-70th-Ave-32615/home/176330788,Stellar MLS as Distributed by MLS Grid,GC517582,N,Y,29.71784622,-82.51429792
MLS Listing,,Single Family Residential,24341 NW 12th Pl,Newberry,FL,32669,469900,4,3.5,AVALON WOODS,2671,6950,2024,15,176,35,Active,,,https://www.redfin.com/FL/Newberry/24341-NW-12th-Pl-32669/home/188579340,Stellar MLS as Distributed by MLS Grid,O6157733,N,Y,29.6635468,-82.4868394
MLS Listing,,Single Family Residential,3980 NW 84th Pl #116,Gainesville,FL,32653,215000,2,2.0,TURKEY CREEK FOREST,1200,4966,1983,15,179,36,Active,,,https://www.redfin.com/FL/Gainesville/3980-NW-84th-Pl-32653/unit-116/home/114371863,Stellar MLS as Distributed by MLS Grid,GC517578,N,Y,29.7329656,-82.383014
MLS Listing,,Multi-Family (5+ Unit),2506 NW 59th Ave,Gainesville,FL,32653,770000,2,1.0,PINE RIDGE (450),6696,10890,1984,16,115,173,Active,,,https://www.redfin.com/FL/Gainesville/2506-NW-59th-Ave-32653/home/114380226,Stellar MLS as Distributed by MLS Grid,GC517521,N,Y,29.708857,-82.3597194
MLS Listing,,Single Family Residential,4606 NW 186th St,Alachua,FL,32615,300000,4,2.0,RANKIN MEADOWS,1836,46174,1995,16,163,,Active,,,https://www.redfin.com/FL/Alachua/4606-NW-186th-St-32615/home/114437281,Stellar MLS as Distributed by MLS Grid,GC517552,N,Y,29.6978308,-82.5407664
MLS Listing,,Single Family Residential,17516 NW 278th Ave,Alachua,FL,32615,985000,5,3.0,ROLLING HILLS,2592,912582,1989,16,380,,Active,,,https://www.redfin.com/FL/Alachua/17516-NW-278th-Ave-32615/home/184781595,Stellar MLS as Distributed by MLS Grid,GC517475,N,Y,29.915356,-82.529551
MLS Listing,,Vacant Land,TBD NE 108th Pl,Waldo,FL,32694,225000,,,WALDO,,958320,,16,,,Active,,,https://www.redfin.com/FL/Unknown/TBD-NE-108th-Pl-32694/home/188569456,Stellar MLS as Distributed by MLS Grid,GC517530,N,Y,29.7542906,-82.12579022
