SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE_FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6608 NW 56th Ln,Gainesville,FL,32653,999950,4,4.0,MILLHAMMOCK REPLAT #1,4159,87556,1986,20,240,66,Active,December-3-2023 12:00 PM,December-3-2023 03:00 PM,https://www.redfin.com/FL/Gainesville/6608-NW-56th-Ln-32653/home/115098356,Stellar MLS as Distributed by MLS Grid,GC517476,N,Y,29.709985,-82.413538
MLS Listing,,Townhouse,2738 NW 39th Dr,Gainesville,FL,32606,269900,2,2.0,PEBBLE CREEK VILLAS,1340,871,1989,20,201,310,Active,,,https://www.redfin.com/FL/Gainesville/2738-NW-39th-Dr-32606/home/114904188,Stellar MLS as Distributed by MLS Grid,GC517431,N,Y,29.6792557,-82.3853648
MLS Listing,,Condo/Co-op,2811 SW Archer Rd Unit O121,Gainesville,FL,32608,115000,2,2.0,BRANDYWINE,1226,1306,1985,20,94,433,Active,,,https://www.redfin.com/FL/Gainesville/2811-SW-Archer-Rd-32608/unit-O121/home/115380216,Stellar MLS as Distributed by MLS Grid,GC517442,N,Y,29.6279291,-82.3655381
MLS Listing,,Single Family Residential,22435 SE 61st Ave,Hawthorne,FL,32640,189900,3,2.0,LAKE BREEZE ESTATES,1311,11130,1966,20,145,,Active,,,https://www.redfin.com/FL/Hawthorne/22435-SE-61st-Ave-32640/home/114522097,Stellar MLS as Distributed by MLS Grid,GC516991,N,Y,29.5977571,-82.0830351
MLS Listing,,Condo/Co-op,4700 SW Archer Rd #N-97,Gainesville,FL,32608,259000,3,3.0,The Gables,1669,,1997,20,155,334,Active,,,https://www.redfin.com/FL/Gainesville/4700-SW-Archer-Rd-32608/unit-N-97/home/188549905,NEFLMLS,1257094,N,Y,29.6155638,-82.3941059
MLS Listing,,Single Family Residential,640 NW 57th St,Gainesville,FL,32607,449900,5,3.0,DURANT ESTATES,2337,35294,1959,20,193,,Active,,,https://www.redfin.com/FL/Gainesville/640-NW-57th-St-32607/home/115175524,Stellar MLS as Distributed by MLS Grid,GC517341,N,Y,29.6584288,-82.4038894
MLS Listing,,Vacant Land,1041 SW 136 St,Newberry,FL,32669,146500,,,TOWN OF TIOGA,,7840,,20,,155,Active,,,https://www.redfin.com/FL/NEWBERRY/1041-SW-136-ST-32669/home/184722618,Stellar MLS as Distributed by MLS Grid,GC517451,N,Y,29.643306,-82.487245
MLS Listing,,Single Family Residential,21812 SE 71st Ave,Hawthorne,FL,32640,295000,3,3.0,HAWTHORNE,2543,13939,1986,20,116,,Active,,,https://www.redfin.com/FL/Hawthorne/21812-Se-71st-Ave-32640/home/115280351,Stellar MLS as Distributed by MLS Grid,GC517411,N,Y,29.5888928,-82.0894375
MLS Listing,,Single Family Residential,6722 NW 35th Way,Gainesville,FL,32653,330000,3,2.0,SUTTERS LANDING PH II,1871,12691,1993,20,176,31,Active,,,https://www.redfin.com/FL/Gainesville/6722-NW-35th-Way-32653/home/114525119,Stellar MLS as Distributed by MLS Grid,GC517201,N,Y,29.7166557,-82.3763354
MLS Listing,,Condo/Co-op,2601 SW Archer Rd Unit J-240,Gainesville,FL,32608,189000,4,2.0,UNIVERSITY COMMONS,1177,1177,1993,20,161,278,Active,,,https://www.redfin.com/FL/Gainesville/2601-SW-Archer-Rd-32608/unit-J240/home/177267689,Stellar MLS as Distributed by MLS Grid,GC517473,N,Y,29.6300866,-82.3625437
MLS Listing,,Single Family Residential,9946 NW 17th Rd,Gainesville,FL,32606,549000,4,3.0,ELLIS PARK,2732,5227,2015,21,201,144,Active,,,https://www.redfin.com/FL/Gainesville/9946-NW-17th-Rd-32606/home/114337429,Stellar MLS as Distributed by MLS Grid,GC517277,N,Y,29.669449,-82.448086
MLS Listing,,Condo/Co-op,4700 SW Archer Rd #37,Gainesville,FL,32608,254900,3,3.0,THE GABLES CONDO AT GAINE,1629,,1997,21,156,334,Active,,,https://www.redfin.com/FL/Gainesville/4700-SW-Archer-Rd-32608/unit-37/home/114225742,Stellar MLS as Distributed by MLS Grid,GC517427,N,Y,29.6155638,-82.3941059
MLS Listing,,Single Family Residential,2711 NE 12th St,Gainesville,FL,32609,217707,3,2.0,HIGHLAND COURT MANOR,1266,9242,1962,21,172,,Active,,,https://www.redfin.com/FL/Gainesville/2711-NE-12th-St-32609/home/114838515,Stellar MLS as Distributed by MLS Grid,GC517395,N,Y,29.6770915,-82.3101911
MLS Listing,,Single Family Residential,5204 SW 81st Dr,Gainesville,FL,32608,357000,4,2.0,STILL WIND CLUSTER PH 2,1830,8276,2002,21,195,30,Active,December-2-2023 02:00 PM,December-2-2023 04:00 PM,https://www.redfin.com/FL/Gainesville/5204-SW-81st-Dr-32608/home/115315256,Stellar MLS as Distributed by MLS Grid,GC517357,N,Y,29.6063909,-82.4291828
MLS Listing,,Single Family Residential,1506 NW 121st Way,Gainesville,FL,32606,399900,3,3.0,SOUTH POINTE,1848,5227,2018,21,216,133,Active,,,https://www.redfin.com/FL/Gainesville/1506-NW-121st-Way-32606/home/114776431,Stellar MLS as Distributed by MLS Grid,GC517409,N,Y,29.6669013,-82.4719564
MLS Listing,,Single Family Residential,12027 SW 33rd Pl,Gainesville,FL,32608,660606,3,2.0,OAKMONT,1875,6250,2020,21,352,7,Active,,,https://www.redfin.com/FL/Gainesville/12027-SW-33rd-Pl-32608/home/177778115,Stellar MLS as Distributed by MLS Grid,GC517466,N,Y,29.6223275,-82.4704103
MLS Listing,,Single Family Residential,12011 SW 33rd Pl,Gainesville,FL,32608,762030,4,3.5,OAKMONT,2653,8582,2020,21,287,7,Active,,,https://www.redfin.com/FL/Gainesville/12011-SW-33rd-Pl-32608/home/177778116,Stellar MLS as Distributed by MLS Grid,GC517464,N,Y,29.6222258,-82.4706007
MLS Listing,,Single Family Residential,3701 SW 162nd St,Archer,FL,32618,349900,4,2.0,ARCHER,2280,224770,2015,21,153,,Active,,,https://www.redfin.com/FL/Archer/3701-SW-162nd-St-32618/home/115554562,Stellar MLS as Distributed by MLS Grid,GC517361,N,Y,29.6185776,-82.5142922
MLS Listing,,Single Family Residential,1914 SW 36th Pl,Gainesville,FL,32608,485000,3,2.0,IDYLWILD,2319,17730,1957,22,209,,Active,,,https://www.redfin.com/FL/Gainesville/1914-SW-36th-Pl-32608/home/114982889,Stellar MLS as Distributed by MLS Grid,GC517272,N,Y,29.6195147,-82.3489612
MLS Listing,,Single Family Residential,1101 NW 25th Ave,Gainesville,FL,32609,269000,2,1.0,OAK PARK,895,9148,1949,22,301,,Active,,,https://www.redfin.com/FL/Gainesville/1101-NW-25th-Ave-32609/home/114320165,Stellar MLS as Distributed by MLS Grid,GC517362,N,Y,29.675447,-82.3361391
MLS Listing,,Single Family Residential,8277 SW 60th Ave,Gainesville,FL,32608,365000,3,2.0,CHESTNUT VILLAGE PH II PB 35 PG 74,1615,6098,2020,22,226,55,Active,,,https://www.redfin.com/FL/Gainesville/8277-SW-60th-Ave-32608/home/174544745,Stellar MLS as Distributed by MLS Grid,GC517401,N,Y,29.5984955,-82.4309457
MLS Listing,,Single Family Residential,428 SW 144 Dr,Newberry,FL,32669,690000,4,2.5,LAUREATE VILLAGE PH I,2264,8712,2022,22,305,100,Active,,,https://www.redfin.com/FL/Newberry/428-SW-144th-Dr-32669/home/177777956,Stellar MLS as Distributed by MLS Grid,GC517407,N,Y,29.6493126,-82.4974195
MLS Listing,,Vacant Land,11707 Sage Blvd,Alachua,FL,32615,99900,,,ALACHUA,,87120,,22,,,Active,,,https://www.redfin.com/FL/Alachua/11707-Sage-Blvd-32615/home/115413328,Stellar MLS as Distributed by MLS Grid,A4588782,N,Y,29.7876527,-82.4730969
MLS Listing,,Single Family Residential,25209 NW 173rd Ave,High Springs,FL,32643,400000,3,2.0,CINNAMON HILLS ESTATES PH 3,1850,44867,2014,22,216,66,Active,,,https://www.redfin.com/FL/High-Springs/25209-NW-173rd-Ave-32643/home/114778871,Stellar MLS as Distributed by MLS Grid,GC517012,N,Y,29.813156,-82.610759
MLS Listing,,Single Family Residential,11212 SE 223rd Ter,Hawthorne,FL,32640,489900,3,2.0,LAKESHORE GARDENS,2199,50002,2023,22,223,,Active,,,https://www.redfin.com/FL/Hawthorne/11212-SE-223rd-Ter-32640/home/114238280,Stellar MLS as Distributed by MLS Grid,GC517076,N,Y,29.550781,-82.085092
MLS Listing,,Vacant Land,Millhopper Rd,Gainesville,FL,32653,600000,,,NOT IN SUBDIVISION,,435600,,22,,,Active,,,https://www.redfin.com/FL/Gainesville/Millhopper-Rd-Unknown/home/174619929,Stellar MLS as Distributed by MLS Grid,GC517408,N,Y,29.71869397,-82.48128899
MLS Listing,,Single Family Residential,24001 NW 126th Ln,Alachua,FL,32615,284900,3,2.0,SCATTERED OAKS,1292,239580,2010,22,221,,Active,,,https://www.redfin.com/FL/Alachua/24001-Nw-126th-Ln-32615/home/114242153,Stellar MLS as Distributed by MLS Grid,GC517388,N,Y,29.770288,-82.597695
MLS Listing,,Single Family Residential,2006 NW 35th Ave,Gainesville,FL,32605,349000,3,2.5,RIDGE-VIEW,1654,7841,2024,22,211,,Active,,,https://www.redfin.com/FL/Gainesville/2006-NW-35th-Ave-32605/home/177775944,Stellar MLS as Distributed by MLS Grid,GC517376,N,Y,29.685076,-82.349923
MLS Listing,,Vacant Land,18570 NW 246th St,High Springs,FL,32643,28999,,,G M WHETSTONE ESTATE ADD TO H S,,12001,,23,,,Active,,,https://www.redfin.com/FL/High-Springs/18570-NW-246th-St-32643/home/188477723,Stellar MLS as Distributed by MLS Grid,A4588497,N,Y,29.8311968,-82.6072143
MLS Listing,,Townhouse,9788 SW 52nd Ln,Gainesville,FL,32608,215000,2,2.0,HP/PLANTATION VILLAS 15,1203,1306,1995,23,179,387,Active,,,https://www.redfin.com/FL/Gainesville/9788-SW-52nd-Ln-32608/home/115026109,Stellar MLS as Distributed by MLS Grid,GC517365,N,Y,29.605035,-82.447073
MLS Listing,,Condo/Co-op,501 SW 75th St Unit H1,Gainesville,FL,32607,199900,4,2.5,CRICKET CLUB,1638,,1977,23,122,307,Active,,,https://www.redfin.com/FL/Gainesville/501-SW-75th-St-32607/unit-H1/home/114926060,Stellar MLS as Distributed by MLS Grid,GC517226,N,Y,29.6489307,-82.4213024
MLS Listing,,Single Family Residential,1951 NW 31st Ave,Gainesville,FL,32605,253900,3,1.0,EASTERWOOD,990,6003,1982,23,256,,Active,,,https://www.redfin.com/FL/Gainesville/1951-NW-31st-Ave-32605/home/114999045,Stellar MLS as Distributed by MLS Grid,GC517353,N,Y,29.6810059,-82.3490248
MLS Listing,,Single Family Residential,3448 NW 68th Rd,Gainesville,FL,32653,569900,6,3.0,SUTTERS LANDING PH III,3327,18658,1994,23,171,32,Active,,,https://www.redfin.com/FL/Gainesville/3448-NW-68th-Rd-32653/home/115559052,Stellar MLS as Distributed by MLS Grid,GC517263,N,Y,29.7174571,-82.3749582
MLS Listing,,Condo/Co-op,194 SW 145th Dr #15,Newberry,FL,32669,225000,3,2.5,CONNEMARA,1499,,2006,23,150,200,Active,,,https://www.redfin.com/FL/Newberry/194-SW-145th-Dr-32669/unit-15/home/115020007,Stellar MLS as Distributed by MLS Grid,GC517230,N,Y,29.651971,-82.499069
MLS Listing,,Single Family Residential,3615 NW 61st Ln,Gainesville,FL,32653,385000,4,2.0,MILE RUN EAST PHASE,2002,100,1997,23,192,205,Active,,,https://www.redfin.com/FL/Gainesville/3615-NW-61st-Ln-32653/home/115493316,Stellar MLS as Distributed by MLS Grid,O6155638,N,Y,29.7108194,-82.3768607
MLS Listing,,Condo/Co-op,1810 NW 23rd Blvd #177,Gainesville,FL,32605,155000,2,2.0,CREEKS EDGE CONDO,1070,,1972,23,145,313,Active,,,https://www.redfin.com/FL/Gainesville/1810-NW-23rd-Blvd-32605/unit-177/home/114967423,Stellar MLS as Distributed by MLS Grid,GC517363,N,Y,29.6754075,-82.344441
MLS Listing,,Single Family Residential,11847 NW 16th Rd,Gainesville,FL,32606,398000,3,2.0,SOUTH POINTE,1540,8593,2023,23,258,41,Active,,,https://www.redfin.com/FL/Gainesville/11847-NW-16th-Rd-32606/home/188473593,Stellar MLS as Distributed by MLS Grid,GC517375,N,Y,29.6676867,-82.4680879
MLS Listing,,Single Family Residential,8390 SW 78th Rd,Gainesville,FL,32608,369900,3,2.0,LONGLEAF UNIT 2 PH 4,1446,9583,2008,23,256,124,Active,,,https://www.redfin.com/FL/Gainesville/8390-SW-78th-Rd-32608/home/114624698,Stellar MLS as Distributed by MLS Grid,GC517348,N,Y,29.5819503,-82.432131
MLS Listing,,Single Family Residential,3205 NW 54th Ave,Gainesville,FL,32653,340000,3,2.0,NORTHWOOD OAKS,2072,19199,1974,23,164,,Active,,,https://www.redfin.com/FL/Gainesville/3205-NW-54th-Ave-32653/home/114262899,Stellar MLS as Distributed by MLS Grid,GC517364,N,Y,29.7041468,-82.36962
MLS Listing,,Single Family Residential,5176 SW 51st Rd,Gainesville,FL,32608,422990,5,3.0,OAKS PRESERVE,2370,4896,2023,23,178,62,Active,,,https://www.redfin.com/FL/Gainesville/5176-SW-51st-Rd-32608/home/183037639,Stellar MLS as Distributed by MLS Grid,T3484617,N,Y,29.606602,-82.398675
MLS Listing,,Single Family Residential,5162 SW 51st Rd,Gainesville,FL,32608,417990,4,2.5,OAKS PRESERVE,2176,3998,2023,23,192,62,Active,,,https://www.redfin.com/FL/Gainesville/5162-SW-51st-Rd-32608/home/183037638,Stellar MLS as Distributed by MLS Grid,T3484614,N,Y,29.6075735,-82.4292072
MLS Listing,,Condo/Co-op,4663 SW 48th Dr #137,Gainesville,FL,32608,264900,3,2.5,HAILEY FOREST CONDO,1428,,2014,24,186,200,Active,,,https://www.redfin.com/FL/Gainesville/4663-SW-48th-Dr-32608/unit-137/home/114912780,Stellar MLS as Distributed by MLS Grid,GC517121,N,Y,29.6110419,-82.3945295
MLS Listing,,Single Family Residential,4750 NW 82nd Rd,Gainesville,FL,32653,485000,4,2.5,GAINESVILLE,2448,7405,2007,24,198,41,Active,December-2-2023 12:00 PM,December-2-2023 02:00 PM,https://www.redfin.com/FL/Gainesville/4750-NW-82nd-Rd-32653/home/115403144,Stellar MLS as Distributed by MLS Grid,GC516954,N,Y,29.7294653,-82.3937671
MLS Listing,,Condo/Co-op,900 SW 62nd Blvd Unit A2,Gainesville,FL,32607,219990,3,3.0,ROCKWOOD VILLAS,1370,,1985,24,161,199,Active,,,https://www.redfin.com/FL/Gainesville/900-SW-62nd-Blvd-32607/unit-A2/home/114767215,Stellar MLS as Distributed by MLS Grid,GC517225,N,Y,29.6442788,-82.4004959
MLS Listing,,Single Family Residential,1336 NW 132nd Cir,Newberry,FL,32669,449680,4,3.0,ARBOR GREEN,2662,4356,2023,24,169,131,Active,,,https://www.redfin.com/FL/Newberry/1336-NW-132nd-Blvd-32669/home/174536106,Stellar MLS as Distributed by MLS Grid,T3484508,N,Y,29.6643551,-82.4825308
MLS Listing,,Single Family Residential,1140 NW 248th Dr,Newberry,FL,32669,310990,3,2.5,AVALON WOODS,1886,4356,2023,24,165,33,Active,,,https://www.redfin.com/FL/Newberry/1140-NW-248th-Way-32669/home/188465825,Stellar MLS as Distributed by MLS Grid,T3484517,N,Y,29.6738128,-82.6057067
MLS Listing,,Single Family Residential,1367 NW 132nd Cir,Newberry,FL,32669,508980,4,3.0,ARBOR GREENS,3209,7405,2023,24,159,131,Active,,,https://www.redfin.com/FL/Newberry/1367-NW-132nd-Blvd-32669/home/188465815,Stellar MLS as Distributed by MLS Grid,T3484510,N,Y,29.6643561,-82.4810379
MLS Listing,,Single Family Residential,1152 NW 248th Dr,Newberry,FL,32669,322990,4,2.5,AVALON WOODS,2176,4356,2023,24,148,33,Active,,,https://www.redfin.com/FL/Newberry/1152-NW-248th-Way-32669/home/188465806,Stellar MLS as Distributed by MLS Grid,T3484516,N,Y,29.6738128,-82.6057067
MLS Listing,,Single Family Residential,11921 NW 12th Ave,Gainesville,FL,32606,430000,3,2.0,SOUTH POINTE PH 1,2124,10890,2003,24,202,41,Active,,,https://www.redfin.com/FL/Gainesville/11921-NW-12th-Ave-32606/home/115326801,Stellar MLS as Distributed by MLS Grid,GC517265,N,Y,29.6642021,-82.469141
MLS Listing,,Single Family Residential,23108 NW 184th Rd,High Springs,FL,32643,229900,3,2.0,HIGH SPRINGS,1140,4792,2023,24,202,,Active,,,https://www.redfin.com/FL/High-Springs/23108-NW-184th-Rd-32643/home/115541043,Stellar MLS as Distributed by MLS Grid,GC517305,N,Y,29.823265,-82.593206
MLS Listing,,Condo/Co-op,3705 SW 27th St #1022,Gainesville,FL,32608,140000,1,1.0,WINDSOR PARK,600,,1996,24,233,181,Active,,,https://www.redfin.com/FL/Gainesville/3705-SW-27th-St-32608/unit-1022/home/115530077,Stellar MLS as Distributed by MLS Grid,GC516698,N,Y,29.6178471,-82.3619874
MLS Listing,,Single Family Residential,10110 NE State Road 24,Archer,FL,32618,269000,5,3.0,BRONSON OAKS (633),2027,43560,2023,24,133,,Active,,,https://www.redfin.com/FL/Archer/10110-NE-State-Road-24-32618/home/188458890,Stellar MLS as Distributed by MLS Grid,GC517216,N,Y,29.546067,-82.5037576
MLS Listing,,Single Family Residential,5814 SW 8th Pl,Gainesville,FL,32607,192000,2,2.0,ROCKWOOD VILLAS,1106,,1987,24,174,190,Active,,,https://www.redfin.com/FL/Gainesville/5814-SW-8th-Pl-32607/home/114164382,Stellar MLS as Distributed by MLS Grid,GC517330,N,Y,29.644945,-82.4043082
MLS Listing,,Vacant Land,2714 SW 35th Pl,Gainesville,FL,32608,3500000,,,GAINESVILLE,,164656,,24,,,Active,,,https://www.redfin.com/FL/Gainesville/2714-SW-35th-Pl-32608/home/174611819,Stellar MLS as Distributed by MLS Grid,GC517251,N,Y,29.619897,-82.363378
MLS Listing,,Single Family Residential,4329 NW 10th Pl,Gainesville,FL,32605,460000,3,2.0,KELSTON LAND CLUSTER,2254,4356,1997,24,204,202,Active,,,https://www.redfin.com/FL/Gainesville/4329-NW-10th-Pl-32605/home/115173637,Stellar MLS as Distributed by MLS Grid,GC517269,N,Y,29.661953,-82.390051
MLS Listing,,Townhouse,834 NW 58th Ter,Gainesville,FL,32607,205000,3,3.0,ROCKWOOD VILLAS,1370,871,1987,24,150,190,Active,,,https://www.redfin.com/FL/Gainesville/834-SW-58th-Ter-32607/home/114592700,Stellar MLS as Distributed by MLS Grid,GC517342,N,Y,29.644529,-82.404223
MLS Listing,,Single Family Residential,638 SW 145th Dr,Newberry,FL,32669,465000,3,2.0,LAUREATE VILLAGE,1596,6970,2021,25,291,100,Active,December-2-2023 02:00 PM,December-2-2023 04:00 PM,https://www.redfin.com/FL/Newberry/638-SW-145th-Dr-32669/home/177777971,Stellar MLS as Distributed by MLS Grid,GC517312,N,Y,29.6472451,-82.4982653
MLS Listing,,Townhouse,819 SW 57th Ter,Gainesville,FL,32607,220000,2,2.5,ROCKWOOD VILLAS UNIT 3 REP,1280,1211,1987,25,172,190,Active,,,https://www.redfin.com/FL/Gainesville/819-SW-57th-Ter-32607/home/114900217,Stellar MLS as Distributed by MLS Grid,G5075065,N,Y,29.6446072,-82.4027813
MLS Listing,,Vacant Land,SE 225th Dr,Hawthorne,FL,32640,600000,,,HAWTHORNE,,1742400,,25,,,Active,,,https://www.redfin.com/FL/Hawthorne/SE-225th-Dr-32640/home/114147005,Stellar MLS as Distributed by MLS Grid,OM667335,N,Y,29.581769,-82.081283
MLS Listing,,Single Family Residential,1121 NW 22nd Ave,Gainesville,FL,32609,239990,2,1.0,OAK PARK,806,8475,1958,25,298,,Active,,,https://www.redfin.com/FL/Gainesville/1121-NW-22nd-Ave-32609/home/114561848,Stellar MLS as Distributed by MLS Grid,O6155155,N,Y,29.6728672,-82.3366478
MLS Listing,,Single Family Residential,14101 Millhopper Rd,Gainesville,FL,32653,995000,4,4.0,MILLHOPPER ROAD ESTATES,2828,229997,1976,26,352,,Active,,,https://www.redfin.com/FL/Gainesville/14101-Millhopper-Rd-32653/home/114117137,Stellar MLS as Distributed by MLS Grid,GC517327,N,Y,29.7173748,-82.4931478
MLS Listing,,Single Family Residential,4727 NW 76th Rd,Gainesville,FL,32653,324900,2,2.0,Blues Creek Unit 6C,1327,2614,1999,26,245,129,Active,,,https://www.redfin.com/FL/Gainesville/4727-NW-76th-Rd-32653/home/114417614,NFMLS,121449,N,Y,29.7247722,-82.3937964
MLS Listing,,Single Family Residential,13814 NW 158th Ave,Alachua,FL,32615,299000,4,3.0,LINCOLN GARDENS ADD ALA,1647,5892,1974,27,182,,Active,,,https://www.redfin.com/FL/Alachua/13814-Nw-158th-Ave-32615/home/115121197,Stellar MLS as Distributed by MLS Grid,GC516848,N,Y,29.7998626,-82.4925134
MLS Listing,,Single Family Residential,2832 SW 106th St,Gainesville,FL,32608,1119000,4,3.0,ESTATES OF WILDS PLANTATION,3107,24394,2016,27,360,50,Active,,,https://www.redfin.com/FL/Gainesville/2832-SW-106th-St-32608/home/116538117,Stellar MLS as Distributed by MLS Grid,GC517329,N,Y,29.6281662,-82.455537
MLS Listing,,Condo/Co-op,201 SE 2nd Ave #416,Gainesville,FL,32601,425000,3,3.0,UNION STREET STATION,1783,,2000,27,238,522,Active,,,https://www.redfin.com/FL/Gainesville/201-SE-2nd-Ave-32601/unit-416/home/114563763,Stellar MLS as Distributed by MLS Grid,GC517271,N,Y,29.6501572,-82.323389
MLS Listing,,Single Family Residential,17207 S County Road 325,Hawthorne,FL,32640,395000,2,2.0,HAWTHORNE,1188,398138,2020,27,332,,Active,,,https://www.redfin.com/FL/Hawthorne/17207-S-County-Road-325-32640/home/115472315,Stellar MLS as Distributed by MLS Grid,GC517035,N,Y,29.495419,-82.168253
MLS Listing,,Vacant Land,25025 SE 101 Ave,Hawthorne,FL,32640,135000,,,Four Lakes Community,,58806,,27,,,Active,,,https://www.redfin.com/FL/Hawthorne/25025-SE-101st-Ave-32640/home/114755178,NEFLMLS,1256091,N,Y,29.563483,-82.056038
MLS Listing,,Single Family Residential,9444 SW 27th Rd,Gainesville,FL,32608,595000,4,3.0,HAILE PLANTATION UNIT 35 PH 6,2557,13939,2005,27,233,250,Active,,,https://www.redfin.com/FL/Gainesville/9444-SW-27th-Rd-32608/home/114603954,Stellar MLS as Distributed by MLS Grid,GC517202,N,Y,29.6283287,-82.4425864
MLS Listing,,Single Family Residential,14135 NW 30 Ave,Gainesville,FL,32606,595000,4,3.0,TURNBERRY LAKE,2448,14374,2008,27,243,100,Active,December-2-2023 11:00 AM,December-2-2023 03:00 PM,https://www.redfin.com/FL/Gainesville/14135-NW-30th-Ave-32606/home/114224799,Stellar MLS as Distributed by MLS Grid,GC517313,N,Y,29.6808324,-82.4929786
MLS Listing,,Condo/Co-op,2360 SW Archer Rd #710,Gainesville,FL,32608,150000,2,2.0,CAMPUS EDGE CONDO,888,,1996,27,169,532,Active,,,https://www.redfin.com/FL/Gainesville/2360-SW-Archer-Rd-32608/unit-710/home/115480488,Stellar MLS as Distributed by MLS Grid,GC517185,N,Y,29.6366329,-82.3582853
MLS Listing,,Single Family Residential,1533 SE 2nd Ave,Gainesville,FL,32641,264000,3,2.0,NEW GAINESVILLE REPLAT,1130,700,2023,27,234,,Active,,,https://www.redfin.com/FL/Gainesville/1533-SE-2nd-Ave-32641/home/114494446,Stellar MLS as Distributed by MLS Grid,GC517267,N,Y,29.650366,-82.305018
MLS Listing,,Single Family Residential,11306 Creek Dr,Alachua,FL,32615,554700,4,2.0,TURKEY CREEK UNIT 1 ALACHUA,3065,24492,1979,27,181,141,Active,,,https://www.redfin.com/FL/Alachua/11306-Creek-Dr-32615/home/114277393,Stellar MLS as Distributed by MLS Grid,GC517304,N,Y,29.758449,-82.419839
MLS Listing,,Single Family Residential,2878 SW 106th St,Gainesville,FL,32608,1250000,4,3.0,ESTATES OF WILDS PLANTATION,3217,21344,2018,27,389,50,Active,,,https://www.redfin.com/FL/Gainesville/2878-SW-106th-St-32608/home/116538131,Stellar MLS as Distributed by MLS Grid,GC517275,N,Y,29.6278724,-82.4555159
MLS Listing,,Single Family Residential,16093 NW 121st Ln,Alachua,FL,32615,389900,4,2.0,SAVANNAH STATION PH 1,1810,19147,2017,28,215,31,Active,,,https://www.redfin.com/FL/Alachua/16093-NW-121st-Ln-32615/home/115362526,Stellar MLS as Distributed by MLS Grid,OM667189,N,Y,29.7666949,-82.5138059
MLS Listing,,Single Family Residential,16671 NW 212th Ter,High Springs,FL,32643,489000,3,2.0,EDGEMOOR,1848,43560,2002,28,265,13,Active,,,https://www.redfin.com/FL/High-Springs/16671-NW-212th-Ter-32643/home/115278849,Stellar MLS as Distributed by MLS Grid,GC517107,N,Y,29.8089955,-82.570547
MLS Listing,,Condo/Co-op,2360 SW Archer Rd #210,Gainesville,FL,32608,129707,1,1.0,CAMPUS EDGE CONDO,635,871,1996,28,204,386,Active,,,https://www.redfin.com/FL/Gainesville/2360-SW-Archer-Rd-32608/unit-210/home/115295905,Stellar MLS as Distributed by MLS Grid,GC517257,N,Y,29.6366329,-82.3582853
MLS Listing,,Townhouse,3288 SW 49th Ter,Gainesville,FL,32608,489900,3,2.5,THE VUE AT CELEBRATION POINTE,1684,1307,2022,28,291,198,Active,,,https://www.redfin.com/FL/Gainesville/3288-SW-49th-Ter-32608/home/170658433,Stellar MLS as Distributed by MLS Grid,GC517293,N,Y,29.622791,-82.396505
MLS Listing,,Condo/Co-op,2360 SW Archer Rd #903,Gainesville,FL,32608,149900,2,2.0,CAMPUS EDGE CONDOMINIUM,888,1306,1996,28,169,531,Active,,,https://www.redfin.com/FL/Gainesville/2360-SW-Archer-Rd-32608/unit-903/home/115380996,Stellar MLS as Distributed by MLS Grid,GC517247,N,Y,29.6366329,-82.3582853
MLS Listing,,Single Family Residential,9731 SW 93rd Pl,Gainesville,FL,32608,360000,3,2.0,HAMMOCK RIDGE UNIT 3-B,1668,43560,2005,28,216,36,Active,,,https://www.redfin.com/FL/Gainesville/9731-SW-93rd-Pl-32608/home/114609264,Stellar MLS as Distributed by MLS Grid,GC517282,N,Y,29.5677455,-82.4463745
MLS Listing,,Single Family Residential,1211 NW 4th St,Gainesville,FL,32601,247000,3,1.0,J B BAILEY ESTATE,880,7593,1948,28,281,,Active,,,https://www.redfin.com/FL/Gainesville/1211-NW-4th-St-32601/home/114168470,Stellar MLS as Distributed by MLS Grid,GC517286,N,Y,29.6633154,-82.3286355
MLS Listing,,Single Family Residential,2803 NE 11th Ter,Gainesville,FL,32609,259900,3,2.0,HIGHLAND COURT MANOR,1368,10450,1961,28,190,,Active,,,https://www.redfin.com/FL/Gainesville/2803-NE-11th-Ter-32609/home/115260164,Stellar MLS as Distributed by MLS Grid,GC517249,N,Y,29.677818,-82.3110816
MLS Listing,,Single Family Residential,3801 SE 19th Ave,Gainesville,FL,32641,240000,4,2.0,DEVONSHIRE HILLS,1560,12197,2006,28,154,,Active,,,https://www.redfin.com/FL/Gainesville/3801-SE-19th-Ave-32641/home/115347217,Stellar MLS as Distributed by MLS Grid,GC517125,N,Y,29.6340281,-82.2776121
