Median Household Income,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
County,Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($)
Okeechobee,"47,020.0","46,097.0","41,760.0","40,367.0","39,059.0","36,415.0","35,405.0","35,490.0",34570,"34,289.0"
Orange,"65,784.0","61,416.0","58,254.0","54,335.0","51,586.0","49,391.0","47,943.0","47,556.0",47581,"48,429.0"
Osceola,"58,513.0","55,538.0","52,279.0","50,063.0","47,343.0","45,536.0","44,254.0","44,551.0",43891,"44,887.0"
Palm Beach,"68,874.0","65,015.0","63,299.0","59,943.0","57,256.0","55,277.0","53,363.0","52,878.0",52432,"52,806.0"
Pasco,"58,084.0","53,431.0","52,828.0","50,417.0","48,289.0","46,010.0","45,064.0","44,518.0",43888,"43,787.0"
Pinellas,"60,451.0","56,419.0","54,090.0","51,454.0","48,968.0","47,090.0","45,819.0","45,574.0",45535,"46,051.0"
Polk,"55,099.0","51,535.0","50,584.0","48,500.0","45,988.0","44,146.0","43,162.0","43,063.0",43113,"43,606.0"
Putnam,"39,975.0","40,068.0","37,670.0","35,649.0","33,619.0","33,003.0","31,715.0","32,714.0",32497,"34,429.0"
St. Johns,"88,794.0","83,803.0","82,252.0","77,323.0","73,640.0","69,523.0","66,194.0","65,575.0",64876,"64,346.0"
St. Lucie,"59,807.0","55,237.0","52,322.0","49,373.0","47,132.0","44,140.0","43,459.0","42,665.0",43413,"43,923.0"
Santa Rosa,"77,260.0","70,663.0","67,949.0","66,242.0","62,731.0","60,652.0","58,923.0","58,199.0",57703,"57,491.0"
Sarasota,"69,490.0","64,644.0","62,236.0","58,644.0","55,236.0","52,796.0","51,766.0","50,304.0",49052,"48,900.0"
Seminole,"73,002.0","70,297.0","66,768.0","63,760.0","60,739.0","58,538.0","57,010.0","57,875.0",58175,"58,577.0"
Sumter,"63,323.0","59,618.0","57,226.0","55,228.0","54,771.0","52,594.0","50,350.0","49,874.0",48493,"46,981.0"
Suwannee,"47,218.0","46,280.0","47,839.0","42,686.0","40,600.0","37,796.0","36,289.0","37,879.0",35698,"36,159.0"
Taylor,"43,563.0","38,295.0","40,306.0","36,934.0","37,188.0","36,195.0","36,181.0","36,907.0",36356,"34,634.0"
Union,"55,463.0","55,139.0","44,270.0","41,770.0","37,460.0","37,778.0","39,163.0","41,476.0",42660,"43,750.0"
Volusia,"56,786.0","52,407.0","49,494.0","46,760.0","43,838.0","42,240.0","41,117.0","41,714.0",42457,"43,419.0"
Wakulla,"72,941.0","67,480.0","61,410.0","62,778.0","57,866.0","54,078.0","50,340.0","53,143.0",52691,"53,385.0"
Walton,"68,111.0","67,390.0","58,093.0","53,785.0","50,619.0","46,910.0","44,966.0","44,468.0",43640,"44,254.0"
Washington,"41,806.0","37,260.0","37,022.0","37,188.0","36,989.0","38,330.0","38,970.0","38,563.0",38501,"38,536.0"
