countycode,place,year,realmediansalesprice,numberofsales
67,Santa Rosa County,2000,165729,2394
67,Santa Rosa County,2001,171138,2621
67,Santa Rosa County,2002,179127,3003
67,Santa Rosa County,2003,185784,3721
67,Santa Rosa County,2004,211535,3568
67,Santa Rosa County,2005,270604,3826
67,Santa Rosa County,2006,255242,3415
67,Santa Rosa County,2007,241198,2556
67,Santa Rosa County,2008,218028,1979
67,Santa Rosa County,2009,210326,1863
67,Santa Rosa County,2010,209160,1794
67,Santa Rosa County,2011,193723,1851
67,Santa Rosa County,2012,196494,2214
67,Santa Rosa County,2013,200708,2645
67,Santa Rosa County,2014,201491,2842
67,Santa Rosa County,2015,206675,3320
67,Santa Rosa County,2016,209355,4086
67,Santa Rosa County,2017,222932,4478
67,Santa Rosa County,2018,230721,4660
67,Santa Rosa County,2019,236930,4820
67,Santa Rosa County,2020,249000,2722
68,Sarasota County,2000,198365,7979
68,Sarasota County,2001,209007,8804
68,Sarasota County,2002,222118,10584
68,Sarasota County,2003,238185,11342
68,Sarasota County,2004,272812,13329
68,Sarasota County,2005,336473,13761
68,Sarasota County,2006,345140,8558
68,Sarasota County,2007,302197,5356
68,Sarasota County,2008,274332,4129
68,Sarasota County,2009,228354,3745
68,Sarasota County,2010,230495,3664
68,Sarasota County,2011,217795,4275
68,Sarasota County,2012,213392,5564
68,Sarasota County,2013,240097,7054
68,Sarasota County,2014,256602,7488
68,Sarasota County,2015,274769,8381
68,Sarasota County,2016,285406,8436
68,Sarasota County,2017,296928,8826
68,Sarasota County,2018,296506,9399
68,Sarasota County,2019,294398,10303
68,Sarasota County,2020,297250,3820
69,Seminole County,2000,199862,8577
69,Seminole County,2001,208279,8598
69,Seminole County,2002,222404,8235
69,Seminole County,2003,237064,9661
69,Seminole County,2004,252478,11100
69,Seminole County,2005,320105,12326
69,Seminole County,2006,345268,8826
69,Seminole County,2007,323338,5773
69,Seminole County,2008,263550,4375
69,Seminole County,2009,222345,4103
69,Seminole County,2010,213270,3150
69,Seminole County,2011,200600,1863
69,Seminole County,2012,206599,3562
69,Seminole County,2013,217968,4982
69,Seminole County,2014,228448,4404
69,Seminole County,2015,244747,6336
69,Seminole County,2016,257800,7473
69,Seminole County,2017,265058,7665
69,Seminole County,2018,277204,8252
69,Seminole County,2019,287341,8495
69,Seminole County,2020,290000,4940
70,Sumter County,2000,187137,2348
70,Sumter County,2001,198084,2289
70,Sumter County,2002,203417,1550
70,Sumter County,2003,173595,1811
70,Sumter County,2004,232006,4747
70,Sumter County,2005,260044,5554
70,Sumter County,2006,281329,5259
70,Sumter County,2007,274775,3548
70,Sumter County,2008,238573,3448
70,Sumter County,2009,243257,3428
70,Sumter County,2010,240424,3809
70,Sumter County,2011,234989,4273
70,Sumter County,2012,236916,5054
70,Sumter County,2013,253208,6236
70,Sumter County,2014,272286,5297
70,Sumter County,2015,282819,5002
70,Sumter County,2016,272677,4194
70,Sumter County,2017,258747,4440
70,Sumter County,2018,273098,5393
70,Sumter County,2019,282350,5934
70,Sumter County,2020,279200,2891
71,Suwannee County,2000,103300,198
71,Suwannee County,2001,113971,188
71,Suwannee County,2002,113208,185
71,Suwannee County,2003,108234,214
71,Suwannee County,2004,122690,285
71,Suwannee County,2005,169557,330
71,Suwannee County,2006,189066,254
71,Suwannee County,2007,161047,173
71,Suwannee County,2008,155734,141
71,Suwannee County,2009,148130,82
71,Suwannee County,2010,138297,85
71,Suwannee County,2011,120360,99
71,Suwannee County,2012,143721,111
71,Suwannee County,2013,109869,111
71,Suwannee County,2014,129009,78
71,Suwannee County,2015,141681,148
71,Suwannee County,2016,137493,188
71,Suwannee County,2017,142521,200
71,Suwannee County,2018,143736,252
71,Suwannee County,2019,136109,240
71,Suwannee County,2020,150000,151
72,Taylor County,2000,97311,212
72,Taylor County,2001,93944,128
72,Taylor County,2002,97445,168
72,Taylor County,2003,98076,180
72,Taylor County,2004,120097,235
72,Taylor County,2005,136952,278
72,Taylor County,2006,153452,201
72,Taylor County,2007,110370,120
72,Taylor County,2008,117400,101
72,Taylor County,2009,90020,75
72,Taylor County,2010,104077,74
72,Taylor County,2011,93021,78
72,Taylor County,2012,112282,77
72,Taylor County,2013,128347,99
72,Taylor County,2014,108914,141
72,Taylor County,2015,103338,141
72,Taylor County,2016,124872,148
72,Taylor County,2017,112807,218
72,Taylor County,2018,125255,175
72,Taylor County,2019,131068,199
72,Taylor County,2020,132000,151
73,Union County,2000,86832,20
73,Union County,2001,103411,28
73,Union County,2002,111059,22
73,Union County,2003,107603,25
73,Union County,2004,142616,34
73,Union County,2005,118670,39
73,Union County,2006,194693,38
73,Union County,2007,198356,48
73,Union County,2008,165318,31
73,Union County,2009,192599,2
73,Union County,2010,132978,9
73,Union County,2011,130677,14
73,Union County,2012,133616,18
73,Union County,2013,130006,13
73,Union County,2014,130588,19
73,Union County,2015,146848,27
73,Union County,2016,142327,26
73,Union County,2017,141995,39
73,Union County,2018,170327,41
73,Union County,2019,166355,39
73,Union County,2020,139900,12
74,Volusia County,2000,140727,5175
74,Volusia County,2001,154765,6228
74,Volusia County,2002,166087,8116
74,Volusia County,2003,182141,10744
74,Volusia County,2004,204711,11964
74,Volusia County,2005,250012,14638
74,Volusia County,2006,278452,9864
74,Volusia County,2007,248722,5799
74,Volusia County,2008,197663,4898
74,Volusia County,2009,162252,4957
74,Volusia County,2010,141843,5908
74,Volusia County,2011,126092,5834
74,Volusia County,2012,129125,6580
74,Volusia County,2013,143726,8367
74,Volusia County,2014,157926,8210
74,Volusia County,2015,171867,9036
74,Volusia County,2016,185294,9786
74,Volusia County,2017,199845,10394
74,Volusia County,2018,215603,10920
74,Volusia County,2019,226848,11355
74,Volusia County,2020,227000,6939
75,Wakulla County,2000,172016,264
75,Wakulla County,2001,174395,256
75,Wakulla County,2002,187410,316
75,Wakulla County,2003,196152,323
75,Wakulla County,2004,211194,411
75,Wakulla County,2005,231004,588
75,Wakulla County,2006,200064,550
75,Wakulla County,2007,190210,420
75,Wakulla County,2008,167594,349
75,Wakulla County,2009,156242,215
75,Wakulla County,2010,157210,188
75,Wakulla County,2011,166212,142
75,Wakulla County,2012,162809,175
75,Wakulla County,2013,176145,199
75,Wakulla County,2014,173119,230
75,Wakulla County,2015,174042,304
75,Wakulla County,2016,185831,362
75,Wakulla County,2017,189327,468
75,Wakulla County,2018,194967,499
75,Wakulla County,2019,204818,550
75,Wakulla County,2020,204950,320
76,Walton County,2000,247021,863
76,Walton County,2001,236972,898
76,Walton County,2002,300791,1131
76,Walton County,2003,339764,1491
76,Walton County,2004,492536,2339
76,Walton County,2005,575991,2112
76,Walton County,2006,460229,1037
76,Walton County,2007,416174,888
76,Walton County,2008,377236,738
76,Walton County,2009,367470,816
76,Walton County,2010,376475,805
76,Walton County,2011,319470,1056
76,Walton County,2012,362896,1369
76,Walton County,2013,377572,1602
76,Walton County,2014,403527,1711
76,Walton County,2015,424228,1982
76,Walton County,2016,419999,2182
76,Walton County,2017,462746,2506
76,Walton County,2018,438907,2491
76,Walton County,2019,455712,2701
76,Walton County,2020,590000,1764
77,Washington County,2000,93569,131
77,Washington County,2001,91031,105
77,Washington County,2002,87414,113
77,Washington County,2003,97936,151
77,Washington County,2004,112591,205
77,Washington County,2005,135632,198
77,Washington County,2006,131713,155
77,Washington County,2007,143015,108
77,Washington County,2008,125785,55
77,Washington County,2009,113937,43
77,Washington County,2010,127600,68
77,Washington County,2011,91703,64
77,Washington County,2012,129125,91
77,Washington County,2013,127240,73
77,Washington County,2014,116538,107
77,Washington County,2015,119654,113
77,Washington County,2016,133680,152
77,Washington County,2017,126218,172
77,Washington County,2018,143530,147
77,Washington County,2019,140646,188
77,Washington County,2020,147500,66
,Florida,2000,178154,245937
,Florida,2001,191238,296213
,Florida,2002,203489,319430
,Florida,2003,218710,359649
,Florida,2004,245654,409568
,Florida,2005,298193,450209
,Florida,2006,319692,341084
,Florida,2007,298466,202704
,Florida,2008,232763,171722
,Florida,2009,198308,158879
,Florida,2010,187942,164254
,Florida,2011,176528,166732
,Florida,2012,183020,194400
,Florida,2013,204691,233368
,Florida,2014,220007,241769
,Florida,2015,233869,277482
,Florida,2016,241688,310725
,Florida,2017,249175,326982
,Florida,2018,256671,348000
,Florida,2019,262740,364812
,Florida,2020,269400,190071
